Japanese;US English;French;German;
"";"";"";"";
"キミ、しってた？
ともだちに　ちかづいて
Ｒボタン　おしたらね…
なんと、かつげちゃうのよ！
ともだち　かついだまま
Ｂボタンを　おせば
ともだちが　ぶきに　なるのよ！
いらなくなったら
もっかい　Ｒボタンで
ポーンと　なげちゃう！
アタシ、ジャマなコは
ぜったい　なげてやるの！";"Want to know a secret?
If you sneak up next to your
friend and press the
R Button, you'll pick'm up!
Then, if you press the
B Button, you can use your
friend to smash things!
And when you don't need
your friend anymore, press
the R Button to throw him!
Anytime my friends get in
my way, I just pick them
up and toss them aside!";"Vous voulez savoir un
petit secret?
Si vous vous approchez d'un
ami et que vous appuyez sur
le bouton R, vous le portez!
Puis, si vous appuyez sur le
bouton B, vous pouvez
casser des objets avec!
Quand vous n'en avez plus
besoin, appuyez sur le
bouton R pour le jeter!
A chaque fois qu'un de mes
amis me barre le chemin, je
l'attrape et je le jette!";"Soll ich dir ein Geheimnis
verraten?
Schleich dich an einen
Gefährten heran und drücke
die R-Taste!
Dann hebst du ihn hoch!
Drückst du dann den
B-Knopf, kannst du mit
ihm auf Objekte schlagen!
Und willst du ihn wieder
loswerden, drücke die
R-Taste, um ihn zu werfen!
Wenn mir meine Freunde im
Weg stehen, nehme ich sie
immer und werfe sie weg!";
"";"";"";"";
"Ｒボタンで　持ち上げた石を
むやみに　投げつけたり
しないこと！";"Do not recklessly pick up
stones and throw them by
pressing the R Button!";"N'abusons pas du bouton R
qui permet de ramasser des
pierres, puis de les jeter!";"Bitte nicht willkürlich
mit Steinen werfen durch
Drücken der R-Taste!";
"";"";"";"";
"うーん…　こまったゴロ…
わざわざ持ってきた　バクダンを
ヨウガンに　落としちまった…。
ついに　あのカイジュウを
やっつける、いいアイデアが
うかんだゴロに…。
オメエも　この近くにいる
カイジュウには　気をつけるゴロ。
オラならまだしも　オメエなんて
炎で　丸焼きに　されちまうゾ。
オラの　あみだした　スンゲェ
やっつけかたを　おしえてやるで、
カイジュウがいたら　やるゴロよ。
どうだゴロ？
聞きたいか、オメエ？
聞く　やめとく";"Oh, this isn't good. I
brought my bombs all this
way, and then I dropped 'em.
They went right in the lava,
too. And I thought I had a
good plan...
I was gonna use them on the
monsters around here. You
should watch out for them.
I mean, if they can toast
me, they're sure to burn
you to a crisp.
Oh, hey! I can teach you an
IN-credible way of dealing
with those pesky things.
What do you say? Would
you like to hear it?
You bet No, Thanks";"C'est pas vrai. J'ai apporté
mes bombes jusqu'ici et
elles sont tombées.
Elles sont tombées dans la
lave. Dire que je croyais
que mon plan était bon...
Je comptais les utiliser
contre les monstres du coin.
Méfie-toi d'eux.
C'est vrai, s'ils peuvent me
griller, imagine ce qu'ils
peuvent te faire.
Oh, je sais! Je peux
t'expliquer un moyen de
te débarrasser d'eux.
Qu'est-ce que tu en dis?
Ça t'intéresse?
Et comment! Non, merci!";"Oh, das ist nicht gut.
Ich brachte meine Bomben
her und ließ sie fallen.
Sie sind mitten in die Lava
gerollt! Und ich dachte, ich
hätte einen guten Plan...
Ich wollte mit ihnen die
Monster hier platt machen.
Pass bloß auf!
Ich meine, wenn sie mich
toasten konnten, dann
bist du schon Holzkohle!
Oh, he! Ich bringe dir
eine GENIALE Art bei, diese
Nervtöter auszuknocken.
Was sagst du? Soll ich
es dir beibringen?
Na klar! Nö, danke.";
"そっか！
じゃあ、おしえてやるゴロ。
アイツ、体が　岩みたいで、
オラの　かいりきで　なぐっても
ウンともスンとも　言わないゴロ。
そこで　オラは　ひらめいた！
外から　やっつけるのが　ムリなら
中から　やっつければいいゴロ！
アイツが　炎をはこうと
口を　スタンバイした　瞬間…！
ググッ…！
なんて　お見事なアイデア…！
…なのにオラは、バクダンを…。
くっ…、くやしいゴロ～！";"Great! I'll show you!
The problem is those things
have skin as hard as rock.
Even with my strength, it's
a waste to hit them. I can't
even make a dent!
But then it came to me! They
may be tough on the outside
but weak on the INSIDE!
So right when they open
their mouths to breathe
fire, gulp! And then...
BLAMMO! What a great idea!
...But then I dropped my
bombs in the lava!
Ugh! I can't believe it!";"Bien! C'est facile!
Le problème de ces bestiaux,
c'est leur peau dure comme
la pierre.
Même avec ma force, taper
dessus ne sert à rien. Pas
moyen de leur faire mal!
Puis j'ai eu une idée! Ils
sont durs à l'extérieur et
tout mous à l'intérieur!
Donc, quand ils ouvrent leur
bouche, on lance une bombe
et gloups, puis...
BOUM! Bonne idée,
hein? Mais mes bombes sont
tombées dans la lave!
Argh! Quelle malchance!";"Klasse! Also, das Problem
ist, dass diese Viecher eine
steinharte Haut haben.
Selbst ein so starker Kerl
wie ich kann ihnen nichts
anhaben!
Aber dann hatte ich DIE
Idee! Außen steinhart, aber
INNEN sind sie butterweich!
Also, wenn sie ihr Maul
öffnen, zum Feuer spucken -
Schluck! Und dann...
KRAWAMM! GENIAL!
...Aber dann fielen meine
Bomben in die Lava!
Oh, Mann! Wie bescheuert!";
"…ええ～っ！
ぜったい　オメエ、
後で　後悔するゴロよ？
まあ　オラ、そんなにケチじゃないし
いつでも　聞きたくなったら
教えてやるからよう。
一回、丸焼きになってみるのも
いいんでねえゴロ？";"...Huh? Are you sure? You
might regret it later.
Well, I won't hold it
against you. If you change
your mind, just come see me.
All it will take is one good
toasting, and you'll learn
your lesson the hard way.";"... Hein? Tu es sûr?
Tu risques de le regretter.
Bon, peu importe, je ne t'en
veux pas. Si tu changes
d'avis, reviens.
Une fois que tu auras les
doigts de pied grillés,
tu comprendras.";"...Was? Bist du sicher?
Du wirst es bereuen.
Naja, ist schon gut. Wenn
du deine Meinung ändern
solltest - ich bin hier.
Verbrenn dir ruhig deine
Fingerchen. Dann lernst du
es eben auf die harte Tour!";
"よう、きょうだい！
ドドンゴやっつけ大作戦、
聞きにきたゴロ？
聞く　やめとく";"Hey, there, brother!
Want to hear my great plan
for slaying Dodongos?
Sure No, Thanks";"Hé, les frangins!
Vous voulez savoir comment
découper les Dodongos?
Bien sûr! Non, merci!";"He, da! Bruder!
Interesse an meinem super
Dodongos-Dreschen-Plan?
Sicher! Ach, ne.";
"…っ！
ア、アタイたちの村に
なんてことすんのさ！
はやく　消しなよっ！
とっとと　村から出てけ！";"!!!
Wh-What are you doing to
our village?!?
Hurry up and put those
fires out! And then get
out of our village!";"!!!
Que... qu'est-ce que tu as
fait à notre village?!?
Dépêche-toi d'éteindre
ces feux et déguerpis!";"!!!
W-Was machst du hier
in unserem Dorf?!?
Na los! Lösche schnell
die Brände und dann
verschwinde wieder!";
"…アンタ、あの黒い奴じゃあ
なかったんだね…。
あ…雨、ふらせてくれたの
アンタでしょ？
…ありがと…。";"Wait, you aren't that dark,
shadowy guy, are you?
But, uh, you are the one who
made it rain, aren't you?
...Thank you.";"Une minute, tu n'es pas ce
type ténébreux, hein?
Mais, heu, c'est toi qui
as amené la pluie,
n'est-ce pas? Merci.";"He... Du bist ja gar nicht
dieser Schattenkerl, oder?
Und du bist verantwortlich
für den Regen, stimmt's?
...Danke.";
"村が　こんな状況だからこそ、
東の神殿へ
行きたいんじゃが…。
ここいらは、
村とは　また違った
不気味な感じがしてのう…。
おまいりには　行きたいんじゃが
どうしても　足が進まん…。
せめて　雨がやむまで
しばらく　待つとするよ。
おまえさんも　神殿へ
行くつもりなら、
気をつけなされよ…。";"Because of everything that's
been happening in town, I
want to get away for a bit.
Maybe I'll go to the Eastern
Palace. It's nothing like
this old village.
I really need a vacation,
but it's always the first
step that's the hardest.
I mean, I can't really go
anywhere until the rain
stops, can I?
If you're thinking of going
to the palace, you'd better
be careful.";"A cause de tout ce qui
passe dans ce village,
j'aimerais partir un peu.
Je vais peut-être aller au
Palais de l'Est. Ça me
changera de ce village.
J'ai vraiment besoin de
vacances. Le plus dur, c'est
de se décider.
Je veux dire, je ne peux
aller nulle part tant qu'il
pleut, n'est-ce pas?
Si tu as l'intention
d'aller au palais, sois
prudent.";"Nach allem, was in diesem
Dorf passiert ist, möchte
ich jetzt mal verreisen.
Vielleicht gehe ich zum
Palast im Osten. Da ist es
sicher geruhsamer.
Ich brauche Urlaub, aber
der erste Schritt ist immer
der schwerste.
Ich meine, ich kann schließ-
lich nicht weg, solange es
noch regnet, oder?
Wenn du zum Palast gehst,
solltest du gut auf dich
aufpassen.";
"";"";"";"";
"４人の力を一つにして
戦いぬくのじゃぞ！";"You must combine the
strength of four into one
and fight your way out!";"Unis la puissance des quatre
pour te frayer un chemin
à la force de l'épée!";"Vereine die Kräfte der
Vier und erkämpfe deinen
Weg wie Einer!";
"リンク、その黒い目玉は
暗黒の結界じゃ！
魔神グフーが生み落とした
あの暗黒の結界は、
大地の力を　すいとっておるのじゃ！
ハイラル各地にある結界を
ほうっておけば、グフーはますます
力をつけて　いくじゃろう。
見ろ、草原だったこの場所も
あれ始めておる。
いまいましい！
目ざわりじゃのう…！
フォーソードの　真の力でならば
結界を破れるじゃろう！
リンク、暗黒の結界を
たたき切るのじゃ！！";"Link, those black spheres
form a barrier of darkness!
The darkness that Vaati
created is syphoning
the power from the land.
If these barriers are left
intact across Hyrule, Vaati
will grow ever stronger.
Look! Already, the green
fields that once grew here
have withered to dust.
It is unforgivable, what
he has done to the land!
The power of the Four Sword
can destroy the barriers!
Link, you must bring
your light and pierce
the darkness!";"Link, ces sphères noires
forment une barrière de
Ténèbres!
Les Ténèbres créées par
Vaati aspirent le pouvoir
de la terre.
Si on ne fait rien contre ces
barrières autour d'Hyrule,
Vaati sera encore plus fort.
Regarde! La verdure qui
s'épanouissait ici est en
train de sécher sur pied.
Ce qu'il a fait à la terre est
impardonnable!
Le pouvoir de l'Epée de
Quatre peut détruire les
barrières!
Link, il faut apporter la
Lumière et percer les
Ténèbres!";"Link, diese schwarzen
Sphären bilden eine
Barriere der Finsternis!
Die Finsternis, die Vaati
schuf, stiehlt dem Land
Licht und Energie.
Solange diese Barrieren in
Hyrule nicht zerstört sind,
wird Vaatis Kraft
weiter wachsen!
Sieh nur! Die einst so
grünen Wiesen sind hier
bereits zu Staub verfallen.
Unverzeihlich, was diesem
Land angetan wurde!
Das Schwert der Vier
vermag die Barrieren
zu zerstören!
Link, lass das Licht
erstrahlen und
vernichte die Finsternis!";
"";"";"";"";
"";"";"";"";
"";"";"";"";
"";"";"";"";
"";"";"";"";
"おう、オマエか！";"Hey! It's you!";"Hé! C'est toi!";"He! Du bist es!";
"ああ、オマエか！
そうそう！
オマエのダチが　魔物退治、
引き受けてくれたんだぜ！
ヨロシク言っといてくれな！";"Hey! It's you!
Oh, that's right. Your
buddy agreed to exterminate
all the beasts for us!
Please thank him for me!";"Hé! C'est toi!
Oh, c'est vrai. Ton ami a
accepté d'exterminer toutes
ces créatures pour nous!
Remercie-le de ma part!";"He! Du bist es!
Ja. Dein Freund hat sich
bereit erklärt, die Monster
für uns zu vertreiben!
Sag ihm bitte unseren Dank!";
"おまえら、
外は　魔物だらけだってのに
よく　出歩けたもんだな…。
オレも、おまえの　ダチに
武器を　とってきてもらうよう
たのんだところなんだ。
武器さえ　手に入れば
魔物なんか　かたっぱしから
けちらしてやるぜ！";"Wow! I'm surprised you're
out and about, what with all
the monsters around here...
I asked your buddy to bring
me some kind of weapon.
If I just had a weapon, I
could take care of every
last one of those monsters!";"Waouh! Ça m'étonne que tu
te promènes dans le coin,
avec tous ces monstres...
J'ai demandé à ton ami de
m'apporter une arme.
Si j'avais une arme, je
m'occuperais de tous ces
monstres, jusqu'au dernier!";"Wow! Ich bin überrascht,
hier draußen jemanden zu
sehen, bei all den Monstern!
Ich habe deinen Freund
gebeten, mir irgendeine
Waffe zu bringen.
Wenn ich eine Waffe hätte,
könnte ich all den Monstern
den Garaus machen!";
"おっ、おい…！
外は　魔物だらけだってのに
よく　出歩けたもんだな…。
オレも　武器さえあれば
なんとか　したいんだが…、
こう　数が　多くちゃ、
武器をしまってある
倉庫へも　行けやしない…。
…そうだ！
おまえ、外を歩いても平気
なんだったら、一つ目の魔物
全部　退治してくれよ！
ひきうけてくれるなら
ウチの倉庫にある物、
なんでも　使っていいぜ！";"Hey! I can't believe you're
out with all those monsters
around.
You know, if I just had a
weapon, I'd do something
about them...
But the problem is I can't
even get to the shed where
all our weapons are stored!
Ooo! I know!
Since you don't mind going
outside, can you slay all
the one-eyed monsters?
If you do, you can use
whatever you want from
the storage shed.";"Hé! Je n'arrive pas à croire
que tu te promènes au
milieu de tous ces monstres.
Tu sais, si j'avais une
arme, je m'en occuperais...
Mais le problème, c'est que
je ne peux pas accéder à
l'atelier où sont les armes!
Oooh! Je sais!
Puisque tu es dehors,
tu veux bien tuer
les monstres à un œil?
Si tu acceptes, tu pourras
prendre toutes les
armes que tu veux.";"He! Ich bin überrascht
hier draußen jemanden zu
sehen, bei all den Monstern.
Tja, wenn ich eine Waffe
hätte, würde ich denen
schon Paroli bieten...
Aber ich komme nicht zum
Schuppen, in dem wir all
unsere Waffen aufbewahren!
He! Ich hab's!
Du läufst ja rum, als wäre
nichts! Mach du doch diese
einäugigen Krabbler platt!
Wenn du das machst, darfst
du dir aus unserem Lager
nehmen, was du möchtest.";
"…ああっ、でもダメか。
おまえ、今　カギを持つ
ヨユウが　なさそうだし…。
魔物を　退治してくれるなら
何にも持たずに
声かけてくれよ。";"Oh...but I guess you can't.
You can't carry this big key
around with you, can you?
Well, if you drive off all
the monsters, tell me, OK?";"Oh... mais je suppose que
tu ne peux pas porter
cette grosse clé, hein?
Bon, si tu parviens à faire
fuir tous les monstres,
préviens-moi, d'accord?";"Oh... Aber ich glaube, du
kannst diesen großen
Schlüssel gar nicht tragen!
Na, sag mir Bescheid, wenn
du alle Monster vertrieben
hast, okay?";
"魔物退治、やってくれるか？
はい　いやだ";"Will you slay the monsters?
Sure No Way";"Tu acceptes de pourfendre
les monstres?
Bien sûr! Sûrement pas";"Vertreibst du die Monster?
Null Problemo! Äh, ne.";
"そうか…、残念だ…。
また　気が変わったら
いつでも　声かけてくれ！";"What? Why not? Well, come
tell me if you change
your mind.";"Quoi? Pourquoi pas? Bon,
reviens si tu changes
d'avis.";"Wieso nicht? Na gut. Komm
wieder, wenn du deine
Meinung geändert hast.";
"そうか！
倉庫には　武器やなんかも
しまってあるんだ。
何か役に立つものが
あるかもしれないぜ！
なんでも　持ってっていいから、
とにかく　あの　一つ目の
魔物どもを　なんとかしてくれ！
じゃあ　これが倉庫のカギだ。
持って行きな！
小さなカギを手に入れた！
カギ穴へ　はこぼう！";"Really? Sweet! There are
lots of weapons and stuff in
the storage shed.
I'm sure you'll find a good
use for at least one of
them!
Take whatever you want.
Just get rid of all the
one-eyed monsters!
Here's the key to the
storage shed. Take it
with you!
You got a small key!
Take it to the keyhole!";"Vraiment? Génial! Il y a
plein d'armes et d'objets
dans l'atelier.
Je suis sûr que tu sauras
quoi en faire!
Prends ce que tu veux.
Débarrasse-nous simplement
des monstres à un œil!
Voici la clé de l'atelier.
Prends-la avec toi!
Tu as reçu une
Petite Clé!
Mets-la dans la serrure!";"Echt? Wie nett! In dem
Schuppen findest du alle
möglichen Waffen.
Ich bin sicher, wenigstens
eine davon wird dir
von Nutzen sein!
Nimm dir, was du brauchst.
Befreie uns nur von allen
einäugigen Krabblern!
Hier ist der Schlüssel zum
Schuppen. Nimm ihn mit!
Kleinen Schlüssel erhalten!
Suche das Schlüsselloch!";
"じゃ、魔物退治
たのんだぜ！";"I'm counting on you to get
rid of the monsters!";"Je compte sur toi pour
nous débarrasser de
ces monstres!";"Ich verlass mich drauf, dass
du die Monster vertreibst!";
"";"";"";"";
"最近、草原に　一つ目の魔物が
増えておってのう…。
おそろしくて　一歩も
外に　出られんよ。
退治しようにも
ワシは　老いぼれておるし、
息子は　臆病でのお…。";"One-eyed monsters have
been popping up in the
field a lot lately.
It's become too scary even
to set foot outside!
I'm too old to think about
fighting them off, and
my son is too cowardly...";"Il y a de plus en plus de
monstres à un œil dans le
champ, en ce moment.
Ça devient dangereux de
sortir!
Je suis trop vieux pour me
battre et mon fils est
bien trop lâche...";"Die einäugigen Krabbler
haben sich erst kürzlich auf
den Feldern breit gemacht.
Es ist zu gefährlich, sich
nach draußen zu wagen!
Ich bin zu alt zum Kämpfen
und mein Sohn ist zu feige!";
"";"";"";"";
"はぁ…。
息子は　ああ言っておるが、
あの一つ目の魔物、倉庫の武器
では、歯がたたんじゃろう…。
先祖が眠る、北の洞くつなら
ちっとはマシな　武器が
まつられているかもしれんが…。
今は地面が　くずれてしもうて
歩いては　入れんのじゃよ…。";"Hah...
I know what my son says
about the weapons in the
storage shed...
but they're no match for
the one-eyed monsters.
A greater weapon may lie
in the cave to the north,
where my ancestors rest.
But the earth there has
crumbled to bits, making it
impossible to get there.";"Ha...
Je sais que mon fils t'a
parlé des armes de
l'atelier...
Mais elles ne pourront rien
contre les monstres
à un œil.
Il y a une meilleure arme
dans une grotte, au nord,
où reposent mes ancêtres.
Mais la terre s'y
effrite et il est impossible
de s'y rendre.";"Hah...
Ich weiß, dass mein Sohn
von den Waffen im
Schuppen erzählte...
Aber damit kannst du die
einäugigen Krabbler
nicht besiegen.
Eine stärkere Waffe ist
vielleicht in der Höhle
im Norden.
Wo auch die Gebeine meiner
Vorfahren liegen.
Doch der Boden dort ist
so brüchig, dass die Höhle
nicht mehr zu erreichen ist.";
"うーむ………。
なにか洞くつに入る方法が
あればいいんじゃがのう…。";"Hmm... There must be some
way to get in that cave...";"Hum... Il doit y avoir un
moyen de se rendre dans
cette grotte...";"Hmm... Es muss einen Weg
in die Höhle geben...";
"おお、おまえさんか！
…なに、魔物を倒して
くれたじゃと？
そりゃあ、ありがたい！
礼は　息子に　させよう。";"Oh! You again?
What? You slew all the
monsters?
Oh, thank you so much!
You can see my son for
your reward.";"Oh! Encore toi?
Quoi? Tu as pourfendu
tous les monstres?
Oh, merci beaucoup!
Va voir mon fils pour
la récompense.";"Oh! Du schon wieder?
Was? Du hast alle Monster
platt gemacht?
Oh, vielen, vielen Dank!!!
Sprich mit meinem Sohn
wegen der Belohnung.";
"これで　安心して
外に　出られるよ。
おまえさんたちの　おかげじゃ！";"Finally, it's safe to go
outside again. And it's
all thanks to you!";"Enfin, on peut à nouveau
sortir.
Et c'est grâce à toi!";"Endlich ist es wieder
sicher, nach draußen zu
gehen! Dank dir!";
"";"";"";"";
"だからさ、お礼に
シャベルを　やるから
おまえ、穴を　ほりおこせよ！
…たしか　穴の場所は
ウチの倉庫の　北　あたり
だったハズだ。
あの辺の　土が見えているトコを
かたっぱしから　ほってみな。
もし　探すのが大変だったら
ほら、大妖精の泉があるだろ？
妖精に　いのれば、
すごい　シャベルに　してもらえるぜ！
シャベルを手に入れた！
やわらかな土を　サックリ！
いいモノ　うまってるかも？";"Take this shovel in exchange
for your help. You can dig
holes with it!
There's a spot north of our
shed where there might
be an underground cave.
You should start digging
around there and try to
find it.
If you have a hard time
finding it, try going to the
Great Fairy's fountain.
The fairy there can make
this a powerful shovel!
You got a shovel!
Dig in soft soil to find
some nice surprises!";"Prends cette Pelle en
récompense pour ton aide.
Elle te sera utile.
Il y a un endroit au nord de
l'atelier qui cache
peut-être une grotte.
Creuse dans ce coin-là
pour trouver l'entrée.
Si tu as du mal à
trouver l'entrée, va à la
Fontaine de la Grande Fée.
Elle peut donner plus
de pouvoir à la Pelle!
Tu as reçu une Pelle!
Creuse la terre meuble
et découvre des secrets!";"Nimm diese Schaufel als
Dank für deine Hilfe. Grabe
mit ihr Schätze aus!
Nördlich unserer Hütte gibt
es eine Stelle, unter der
sich eine Höhle befindet.
Versuche, dort zu graben
und die Höhle zu finden.
Hast du Probleme damit, sie
zu finden, dann geh zum
Quell der Großen Fee.
Die Fee kann dir eine
bessere Schaufel machen!
Schaufel erhalten!
Grabe in lockerer Erde und
lass dich überraschen!";
"だからさ、シャベルやるから
おまえ　穴を　ほりおこせよ！
…でもまあ　おまえも
荷物が　いっぱいみたいだな。
手をあけてから　こいよ！";"Hey, I gave you a shovel,
didn't I? So go dig some
holes with it!?
Oh, wait! You've got too
much stuff! Come back when
you can carry something.";"Hé, je t'ai donné une Pelle,
non? Alors, creuse!
Oh, attends! Tu as
les mains pleines!
Reviens quand tu auras
les mains libres.";"He! Ich habe dir doch eine
Schaufel gegeben! Also,
grabe Löcher damit!!!
Oh, warte! Du hast zu viele
Gegenstände bei dir. Mach
erst einmal Platz.";
"…　…　…。
なんだってえ？！
あの　一つ目の魔物、
おまえらが　倒してくれたって？！
…そりゃあ　助かった！！
ここは　ひとつ　お礼を
しなきゃな！
…うーん、なにがいいだろう…？
…　…　…。
…ん？　おまえ、ハイラル城を
目指してんのか？
…　…　…。
…おお、そうか！
城への道は、今は　大きな木が
はえちまって　通れねえんだ。
だけどオレ、前に　城への道に
通じる　でっけえ　穴を
ほったことが　あるんだよ！
今は　用がねえから
ふさいじまってるが、
ほりおこせば　問題ない！";"...
What's that? You say you
destroyed all the one-eyed
monsters?
That's great! Thank you!
I really should reward
you! Uh... Gee... What
can I give you...
...
Umm... You're headed to
Hyrule Castle?
...Oh! I know!
There's this giant tree
that's blocking the path
to the castle...
But I dug a huge passageway
so I could get into the
castle.
Once I was done with it, I
sealed it up, but you could
dig it open if you wanted.";"...
Comment ça? Tu aurais
pourfendu tous les
monstres à un œil?
C'est génial! Merci!
J'aimerais vraiment te
récompenser!
Heu... Mince...
Qu'est-ce que je peux
te donner?
...
Hein? Tu vas au Château
d'Hyrule?
...Oh! Je sais!
Il y a cet arbre géant qui
bloque le chemin menant au
château...
Mais j'ai creusé un vaste
passage pour y accéder.
Puis, j'en ai bouché
l'entrée. Tu peux creuser
pour la rouvrir.";"...
Was sagst du? Du hast alle
einäugigen Krabbler
vertrieben?
Großartig! Danke!
Ich sollte dir dafür etwas
schenken! Äh... Hmm... Was
könnte ich dir denn geben...
...
Hmm... Du willst zum
Schloss Hyrule?
...Oh! Ich hab's!
Da ist doch dieser riesige
Baum, der den Weg zum
Schloss blockiert...
Aber ich habe einen
Durchgang zum
Schloss Hyrule gegraben.
Als er fertig war, habe ich
ihn verbarrikadiert. Aber du
kannst ihn freigraben.";
"";"";"";"";
"";"";"";"";
"…城への道と　つながる　穴は
ウチの倉庫の　北　あたり
だったハズだ。
あの辺の　土が見えているトコを
かたっぱしから　ほってみな。
もし　探すのが大変だったら
ほら、大妖精の泉があるだろ？
妖精に　いのって、
すごい　シャベルに　してもらいな！";"The passage to the castle
should be somewhere north
of our storage shed.
There's nothing but dirt up
there, so just keep digging
until you find it.
If you have a hard time
finding it, try going to
the Great Fairy's Fountain.
If you ask the Great Fairy
for help, she'll turn this
into a better shovel.";"Le passage menant au
château doit être au nord
de notre atelier.
Il n'y a que de la terre!
Continue à creuser jusqu'à
ce que tu le trouves.
Si tu as du mal à
trouver, va à la Fontaine
de la Grande Fée.
Si tu demandes de l'aide
à la Grande Fée, elle
améliorera ta Pelle.";"Der Durchgang zum Schloss
muss irgendwo nördlich
des Schuppens liegen.
Da gibt es nichts als
Erde. Also, grab einfach,
bis du ihn findest.
Hast du Probleme beim
Suchen, dann geh zum Quell
der Großen Fee.
Frag die Große Fee um
Hilfe und sie macht dir eine
bessere Schaufel.";
"";"";"";"";
"よう！
おまえの　ダチから　聞いたぜ！
おまえらが　魔物を
倒してくれたらしいな。
それでだな、おまえら
ハイラル城　目指してんだろ？
城への道は、今は　大きな木が
はえちまって　通れねえんだ。
だけどオレ、前に　城への道に
通じる　でっけえ　穴を
ほったことが　あるんだよ！
今は　用がねえから
ふさいじまってるが、
ほりおこせば　問題ない！";"Hey! Your buddy told me all
about it!
You know... About how you
guys got rid of all the
monsters?
Now, you guys are going to
Hyrule Castle, right?
Well, you should know that
a giant tree's blocking
the path to the castle...
But I dug a huge passageway
so I could get into the
castle.
Once I was done with it, I
sealed it up, but you could
dig it open if you wanted.";"Hé! Ton ami m'a tout
raconté!
Tu sais... A propos de la
façon dont tu as
pourfendu les monstres...
Tu vas au Château
d'Hyrule, n'est-ce pas?
Bon, il faut que je te dise
qu'un arbre géant bloque le
chemin du château...
Mais j'ai creusé un vaste
passage pour accéder au
château.
Puis, j'en ai bouché
l'entrée. Tu peux creuser
pour la rouvrir.";"He! Dein Freund hat mir
schon alles erzählt!
Du weißt schon... Wie ihr
diese Monster vermöbelt
habt und all das!
Ihr seid also auf dem Weg
zum Schloss Hyrule, nicht?
Weißt du, da ist ein rie-
siger Baum, der den Weg
zum Schloss versperrt...
Aber ich habe einen
Durchgang zum Schloss
gegraben.
Als er fertig war, habe ich
ihn verbarrikadiert, aber du
kannst ihn freigraben.";
"おぅ、シャベルがほしいのか？
いいぜ、じゃあ　やるよ！
…城への道と　つながる　穴は
ウチの倉庫の　北　あたり
だったハズだ。
あの辺の　土が見えているトコを
かたっぱしから　ほってみな。
もし　探すのが大変だったら
ほら、大妖精の泉があるだろ？
妖精に　いのれば、
すごい　シャベルに　してもらえるぜ！
シャベルを手に入れた！
やわらかな土を　サックリ！
いいモノ　うまってるかも？";"What's that? You need a
shovel? No problem! I'll
give you one.
The passage to the castle is
somewhere north of our
storage shed.
There's dirt everywhere up
there, so just dig around.
You should find the hole.
If you have trouble, though,
you can go to the Great
Fairy's Fountain.
If you ask the Great Fairy,
she'll turn this into an
incredible shovel.
You got a shovel!
Dig in soft soil to find
some nice surprises!";"Pardon? Tu as besoin
d'une Pelle? Aucun problème!
Je vais t'en donner une.
Le passage menant au
château doit être au nord
de notre atelier.
Il n'y a que de la terre!
Continue à creuser jusqu'à
trouver.
Si tu as du mal à
trouver, va à la Fontaine
de la Grande Fée.
Si tu demandes de l'aide
à la Grande Fée, elle
améliorera ta Pelle.
Tu as reçu une Pelle!
Creuse la terre meuble
et découvre des secrets!";"Wie bitte? Du brauchst eine
Schaufel? Kein Problem! Ich
gebe dir eine.
Der Durchgang zum Schloss
muss irgendwo nördlich
des Schuppens liegen.
Da gibt es nichts als
Erde. Also, grab einfach,
bis du ihn findest.
Hast du Probleme beim
Suchen, dann geh zum Quell
der Großen Fee.
Frag die Große Fee um
Hilfe und sie macht dir eine
unglaublich feste Schaufel.
Schaufel erhalten!
Grabe in lockerer Erde und
lass dich überraschen!";
"";"";"";"";
"シャベル　やるから
両手、あけてきなよ！";"I'll give you a shovel, so
just empty your hands,
and you can have it.";"Je vais te donner une Pelle,
mais pour ça, tu dois avoir
les mains libres.";"Ich gebe dir eine Schaufel.
Also leg alles aus der Hand
und du kannst sie haben.";
"";"";"";"";
"おっ、おおっ！
あのジャマな家、動いたゴロね～。
そうそう、なにがジャマって
家のまわりに　うちつけてあった
クイが　ジャマだったゴロ！
いやあ、これでもう
動かしたい放題！　ゴロ！";"Whoa! Oh, whoa! That
big ol' house just
moved!
Yeah, all those stakes
stuck around the house
were such a pain.
But now that they're gone
I can just push that house
around all I want!";"Waouh! Incroyable! Cette
vieille maison vient de
bouger!
Ouais, tous ces piquets
autour de la maison étaient
vraiment gênants.
Mais maintenant qu'ils sont
aplatis, je peux pousser la
maison où je veux!";"He! Oha, wow! Das
große alte Haus hat
sich gerade bewegt!
Jippie! Jetzt sind all diese
Pflöcke weg, die um das
Haus verteilt waren!
Ich kann es endlich
herumschieben, wie
es mir gefällt!";
