Japanese;US English;French;German;
"それは　影の領域トワイライトから
オルディンの光を取り戻すまで、ず～っとな";"For at least as long as it takes for
you to save the light of Eldin from
the twilight, anyway...";"En tout cas, jusqu'à ce que tu
récupères la lumière d'Ordinn,
au moins...";"Zum Menschen wirst du erst
wieder, wenn du das Licht nach
Eldin zurückgebracht hast.";
"さあ、光の精霊オルディンが守りし地へ
行ってみようか　クククッ";"So, shall we try to go see the light
spirit of Eldin? Eee hee!";"Va! Dirige tes pas vers les terres
protégées par l'Esprit Ordinn! 
Je le fais bien, l'Esprit, hein? 
Ksh ksh ksh!";"Also... Gehen wir rein? In
das Gebiet, das der Lichtgeist
Eldin beschützen sollte? Hehehe...";
"よし、よし、いいコだ！
ここからは　ちゃんと言うこと聞くんだぞ";"That's a good boy! Now, you need
to listen to what I say from now on!";"C'est bien, gentil toutou! 
Allez, et à partir de maintenant,
tu obéis bien, hein?";"Sehr schön, sehr schön...
Brav! Von hier an wirst du
mir fein gehorchen, ja?";
"おっ、見てみろよ
今日も、黄昏の黒雲がキレイだね～";"Ahh, look! How lovely! The black
clouds of twilight are so fetching
today...";"Ooh, regarde! Les nuages sombres 
du Crépuscule sont aujourd'hui 
encore d'une saisissante beauté, 
tu ne trouves pas?";"Und sieh dir nur diese Pracht an!
Sind die schwarzen Wolken heute
nicht wieder wunderschön?";
"やっぱり、こっちの方が落ち着くな・・・";"I feel so much more at ease here...";"En tout cas, moi, je suis plus
à l'aise ici...";"Irgendwie fühle ich mich auf dieser
Seite wirklich wohler...";
"オマエも　あんな古臭い格好より
今の姿の方が似合ってるぞ　クククッ";"And you look so much better like
this than in those dusty old
clothes, anyway. Eee hee!";"Et entre nous, tu es plus séduisant
comme ça que dans ton costume
désuet!";"Und dein Pelz steht dir viel
besser als der altmodische
Plunder, den du sonst so
trägst... Hehehe!";
"さあ、行ってみようか";"So, let's get going!";"Bon, allons-y...";"Genug geplaudert...
Sollen wir gehen?";
"やっぱり、獣の方が便利だろ？";"See, isn't being a wolf more
convenient?";"C'est pratique d'être un loup, non?";"Als Tier durch die Welt zu gehen
ist doch viel praktischer, oder?";
"さあ、センス[X] を研ぎ澄ませ！
オマエは獣として目覚め始めたのさ";"Now, use [X]  to hone your senses!
You've begun to reawaken as a
wolf, I think.";"Allez, affine tes sens avec [X] !
Tu commences à découvrir l'animal
qui est en toi...";"Schärfe dein [X]  Gespür! Erst als
Tier entdeckst du deine wahren
Fähigkeiten!";
"クククッ";"Eee hee!";"Ksh ksh ksh!";"Hehehe...";
"おっ、やっとここまで来たな";"Ah, we're finally here.";"Ah, enfin, nous y voilà...";"Ah... Endlich sind wir hier!";
"影の結晶石は　残り１つ・・・";"There's only one Fused Shadow
left...";"Il ne reste plus qu'un seul cristal
d'ombre à trouver...";"Ein Schattenkristall ist noch übrig...";
"・・・ということは、ここが最後の
影の領域、トワイライトなんだよ";"...So this is the last of the twilight
you'll see, I guess.";"... Ce qui veut dire que nous 
sommes près d'entrer dans 
la dernière région du Crépuscule.";"Das heißt, hier muss das
letzte Gebiet sein, in dem
wir durch die Schatten reisen.";
"無事に取り戻すことができるかは
オマエ次第・・・";"Whether or not you accomplish
your final task and survive is up to
you...";"Il ne tient qu'à toi de rendre 
cette région à la lumière... 
Tout va dépendre de tes efforts.";"Es hängt nur von dir ab, ob wir das
Licht in dieses Gebiet zurück-
bringen können.";
"クククッ
さあ、どうする？";"Eee hee! So what will you do?";"Ksh ksh ksh...
Alors, qu'est-ce que tu vas faire?";"Hehehe...
Und was jetzt?";
"しょうがない、手伝ってやるよ！";"All right then, I guess I'll have to
help you!";"Bon, je vais t'aider, mais c'est 
bien parce que c'est toi!";"Na gut... dann helfe ich dir eben!";
"あ～あ、これで　この世界を覆っていた
黄昏の黒雲も　見納めか～";"But what a shame that this is the
last of the twilight... I had become
so fond of seeing it covering this
world...";"Ah là là... C'est la dernière fois que
je peux admirer ces magnifiques 
nuages noirs dans ce monde...";"So... Jetzt werde ich wohl in
dieser Welt nie mehr die Wolken
meiner Heimat sehen können...";
"果たして、そうなるかな？
クククッ";"Or...is it really the last you'll see?
Eee hee!";"Ou peut-être pas, qui sait?
Ksh ksh ksh!";"Oder vielleicht doch? Irgendwann?
Hehehe...";
"さあ、行ってみようか";"So, shall we get going?";"Allez, allons-y.";"Wie sieht es aus?
Sollen wir gehen?";
"メスのニオイだろ？";"You smell the girl, don't you?";"Laisse-moi deviner...
C'est l'odeur de ta louve?";"Witterung von einem Weibchen?";
"その面　見てたら、わかるんだよ";"I can tell by the look on your face.";"Crois-moi, quand on voit la tête 
que tu fais, il n'y a pas l'ombre 
d'un doute...";"Das sehe ich dir doch am Gesicht
an!";
"よかったな、手がかりが見つかって";"Well, good. It's another clue, then.";"C'est bien pour toi, ça... 
C'est un indice très important.";"Gut, dass wir eine Spur haben!";
"だけど、あれから随分　経ってるからな
果たして、無事でいるかな？　ククッ";"But this scent could be quite old...
I wonder if she is still all right?
Eee hee!";"En même temps, elle a été enlevée 
il y a un moment déjà... Je me 
demande si elle est encore en un 
seul morceau! Ksh ksh ksh!";"Aber die Spur ist schon alt... Ob
wir noch eine Chance haben, die
Kleine zu retten? Hehehe...";
"途中で見かけた影の蟲も
ついでに仕留めちまえよ！
[L] 注目すれば簡単だろ？";"Take out any insects of darkness
you see on the way! It's easy if
you lock on with [L] , OK?";"Débarrasse-toi de tous les insectes
des ombres que tu rencontres!
C'est facile si tu penses à les
verrouiller avec [L] , non?";"Die Schattenkäfer, die wir auf dem
Weg treffen, kannst du doch auch
erledigen! Ist ganz leicht, wenn du
sie mit [L]  anvisierst!";
"何処へ行くつもりだよ？
光の雫はこの近くにあるんだぞ！";"Where do you think you're going?
There are Tears of Light near here!";"Tu comptes aller où, comme ça?
Il y a une perle de lumière dans
le coin!";"Wo willst du eigentlich hin?
Der Strahlentau ist irgendwo
hier in der Nähe!";
"そんなことしてる場合じゃないだろ！
あの気持ち悪い怪物、なんとかしろよ！";"This isn't the time or the place to
be doing that! You need to do
something about that nasty beast!";"Ce n'est pas le moment de faire ça!
Il faut que tu me débarrasses de
cette sale bête!";"Dafür haben wir jetzt keine Zeit!
Du musst irgendwas wegen dieser
fiesen Monster untenehmen!";
"おい、何やってんだ！
はやく最後の光の雫を取れよ！";"Hey! What are you doing? Hurry up
and get the last Tear of Light!";"Hé, qu'est-ce que tu fais? Va vite
chercher la dernière perle de
lumière!";"Hey, was machst du da? Such
gefälligst den letzten Tropfen
Strahlentau, und zwar schnell!";
"アラ、ハジメマシテ
アタイ、スモモチャン";"Hello hello hello hello!
I am Plumm!";"Oh, salut salut!
Je suis Prune!";"Oh, hallo!
Ich bin Christa.";
"アタイ　巷デ噂ノアトラクションニ
ハマッテルンダケド・・・
アンタモ　ドウ？";"I'm REALLY excited about the latest
attraction down here at the lake...
Wanna hear about it?";"Il y a une attraction dont tout
le monde parle en ville!
J'en suis toute excitée!
Et toi, ça t'intéresse?";"Es gibt hier eine sagenhafte
Attraktion... Willst du sie nicht
auch mal ausprobieren?";
"１００００点超エタラ
何カ　アゲテモイイワヨ？";"If you get 10,000 points, I just
might give you something! Yeah!
You know what I mean?";"Si tu dépasses les 10 000 points,
je te donnerai quelque chose!
Oui oui oui! Quelque chose!";"Wenn du über 10000 Punkte
erreichst, bekommst du auch
etwas ganz Besonderes!";
"・・・ト思ッタラ、
アレッテ　鳥専用ダッタッケ
アンタ、何トカシテ空飛ベナイ？";"Except... Maybe the attraction is
only for birds. Hmm... Do you ever
fly through the sky? Fly like a bird?
Do you?";"Sauf que...  C'est réservé
aux oiseaux...
Toi... Tu peux voler tu peux voler?
Comme un oiseau?";"Aber das ist nur für Vögel!
Kannst du nicht irgendwie
versuchen zu fliegen?
Wie ein Vogel?";
"アラ、マタ来タノ？";"Oh, you're back?";"Oh, tu es revenu tu es revenu?";"Oh, da bist du ja wieder!";
"アトラクション、ヤルナラ
アタイミタイニ、空飛ンデヨネ";"If you want to try out the
attraction, you'll have to fly in the
sky like me, see? Yeah!";"Si tu veux essayer mon
attraction, tu dois voler
comme moi comme moi!";"Wenn du diese Attraktion auch
einmal probieren möchtest, musst
du so wie ich hoch in die Wolken
fliegen!";
"・・・コレ以上
アタイニ　何カ用？";"Oh, was there something else you
needed from me?";"Oh, tu veux me demander
quelque chose d'autre
quelque chose d'autre?";"Oh, willst du etwa noch
irgendetwas anderes von mir?";
"壁ニブツカッテ　落チチャッタラ、
何点取ッテテモ　ダメー！！　０点！
スタートカラ　ヤリ直スナラ[B] ヨ";"If you hit a wall and fall off, then
you get NO points! That's right,
0 points for you! Press [B]  to start
over from the beginning.";"Mais si tu te prends un mur et que 
tu tombes, tu perds tous tes points
tous tes points! 0 0 0 0 0 point!
Pour recommencer, appuie sur [B] !";"Wenn du mittendrin aufhörst, ist
es egal, wieviel Punkte du vorher
hattest... Das Ergebnis ist dann
null Punkte! Neustart mit [B] !";
"壁ニブツカッテ　落チチャッタラ、
何点取ッテテモ　ダメー！！　０点！
スタートカラ　ヤリ直スナラ[WiiB]ヨ";"If you hit a wall and fall off, then
you get NO points! That's right,
0 points for you! Press [WiiB] to start
over from the beginning.";"Mais si tu te prends un mur et que 
tu tombes, tu perds tous tes points
tous tes points! 0 0 0 0 0 point!
Pour recommencer, appuie sur [WiiB]!";"Wenn du mittendrin aufhörst, ist
es egal, wieviel Punkte du vorher
hattest... Das Ergebnis ist dann
null Punkte! Neustart mit [WiiB]!";
"アッ、ソ！";"Ah, I see...";"Ah, j'ai oublié oublié!";"Oh!";
"アンタノ最高得点ハ
[HighScore]ネ";"Your high score is [HighScore]!";"Ton record est de [HighScore]!";"Deine Höchstpunktzahl
beträgt [HighScore].";
"アトラクションッテノハ
風船ヲ割リナガラ
ゴールヲ目指ス　ゲームナノ";"This attraction is all about popping
balloons as you move toward the
goal! It's stupendous!";"Cette attraction, c'est simple
simple! Il faut passer la ligne
d'arrivée le plus vite possible
en crevant des ballons au passage!";"Dieses Spiel besteht darin, schnell
das Ziel zu erreichen und dabei
möglichst viele Luftballons
kaputt zu machen.";
"風船ハ　スイカガ１点、
オレンジガ３点、イチゴガ１０点";"The balloons are worth different
amounts of points:
Watermelon=1 Orange=3
Strawberry=10";"Les ballons rapportent des points!
Les pastèques: 1 point, les
oranges: 3 points et les fraises:
10 points! C'est facile c'est facile!";"Du bekommst für Melonen einen
Punkt, für Orangen drei Punkte
und für Erdbeeren zehn Punkte.";
"デ、同ジ風船ヲ　連続デ割ッテイクト
得点ガ、ドンドン２倍ニナッテイクノヨ！
１０個マデダケド・・・";"Oh, and if you break the same
type of balloon twice in a row,
you get double the points!
But only up to 10 times...";"Ah oui ah oui! Si tu crèves
le même type de ballon à la suite,
les points doublent à chaque fois!
Les dix premières fois, en tout cas...";"Ach ja, wenn du mehrere Ballons
der gleichen Sorte hintereinander
kaputt machst, bekommst du die
doppelte Punktzahl.";
"１００００点ヲ超エタラ
何カ　アゲテモイイワヨ？
・・・マ、無理ダロウケド！";"You know you get something neat if
you get over 10,000 points, right?
...Not that you ever will!";"Si tu dépasses les 10 000 points,
je te donnerai quelque chose!
Oui oui oui! Quelque chose!
... Mais tu n'y arriveras pas!";"Wenn du mehr als 10000 Punkte
erreichst, bekommst du etwas.
...Aber das schaffst du eh nie!";
"ジャ、アンタガ　空飛ブト同時ニ
ゲームスタートダカラネ";"Well, the game starts as soon as
you fly into the air. Yeah!";"Alors alors, le jeu commence quand
tu commences à voler à voler!
Ouiiii!";"Also dann, sobald du abhebst,
beginnt das Spiel.";
"ニンゲン　ハッケン！
アタイ、スモモチャン！";"Oh, a human! I'm Plumm!";"Oh, un humain! Je m'appelle Prune!
C'est moi c'est moi!";"Oh, ein Mensch! 
Ich bin Christa.";
"デモ、
ニンゲンニハ　ヨウハ　ナ～イ！";"But I don't need to talk to humans!";"Mais l'humain n'a pas besoin
de moi de moi!";"Aber ich kann die Menschen-
sprache nicht besonders gut...";
"スモモチャン、ザンネンナガラ
ニンゲンニハ　ヨウハ　ナ～イ！";"Plumm has no need to speak to
humans...";"Dommage dommage! L'humain n'a
pas besoin de Prune! Non non!";"Christa kann die Menschensprache
nicht so gut...";
"• 続ける
• やり直す
• やめる";"• Continue
• Start over
• Quit";"• Continuer
• Recommencer
• Arrêter";"• Weiter
• Neustart
• Aufhören";
"チョット！　ドウシタノ？";"Hey! What's the matter?";"Qu'est-ce qu'y a qu'y a qu'y a?";"Hey! Was willst du denn?";
"ダ・・・ダサッ！";"That was so...lame!";"C'est... nul!
Nul nul!";"Oh... Wie schwach!";
"デモ、マタ　遊ビタインナラ
ハイリア湖マデ　来テヨネ
・・・待ッテルカラ";"Well, if you want to fly again, just
come and see me at Lake Hylia.
...I'll be waiting.";"Mais si tu veux rejouer,
reviens me voir me voir!
... J'attends j'attends!";"Aber wenn du mal wieder Spaß
haben willst, komm zu mir. Ich
warte hier auf dich...!";
"エッ、ウッソー！
[LatestScore]？！";"What?! No way! [LatestScore]?!";"HEIN!!
[LatestScore]?!";"Unglaublich?!?
[LatestScore]?!?";
"ア、１００００点超エタンダネ・・・
ジャ　コレ、受ケ取ッテヨ";"You got more than 10,000 points...
Wow. Here, take this.";"Ouuuh! Tu as dépassé les
10 000 points...
Tiens, prends ça!
Cadeau cadeau!";"Ah, du hast über 10000 Punkte.
Hier, nimm das dafür.";
"ベ・・・別ニ、
アタイノ気持チッテワケジャ
ナインダカラネ！";"But... Don't think I'm giving you
this because I like you or anything!";"Mais... C'est juste parce que
j'avais promis promis!";"Äh... Ähm... Denk aber jetzt bloß
nicht, das gebe ich dir, weil ich
dich besonders mag oder so...";
"ネエネエ、クセニ　ナリソウデショ！
最高点目指シテ
モウ１回　ヤリタイデショ？";"So you're completely hooked now,
aren't you? You NEED to go again
to try to beat the high score, don't
you?";"... Dis, dis! Il rend accro, ce jeu, 
hein? Je parie que tu veux essayer 
d'obtenir le score maximum! 
J'ai raison raison? ";"Na? Das ist toll, oder? Und
vielleicht schaffst du ja noch die
Höchstpunktzahl! Willst du es
noch einmal versuchen?";
"ヨ、ヨカッタジャン・・・
新記録達成ネ！";"Well... Uhh, great... A new record!";"Oh... Oh... 
Tu as réalisé un nouveau
record nouveau record!";"Oh...
Du hast einen neuen Rekord
aufgestellt.";
"チョット　トキメイチャッタ・・・
ダカラ、コレ・・・アゲチャウ";"Woooo, that was pretty exciting...
So, let me give you this...";"Ouh... J'ai le cœur qui bat fort 
fort! Tiens! C'est pour toi pour toi!";"Das war ganz schön aufregend...
Hier, nimm das!";
"フーン、[LatestScore]カ・・・";"Hmmm! [LatestScore]...";"Hmm... [LatestScore]...";"Hm, [LatestScore]...";
"プププ・・・
自己ベスト、更新デキナカッタネ！";"Booooooooooooooooooooooo...
That's nowhere near my personal
best!";"Kak kak kak kak...
Tu n'as pas battu ton record
ton record!";"Tststs... 
Ganz schwache Leistung! Da 
waren schon viele vor dir besser!";
"ダカラ、マタ　ココニ
来テクレルンデショ？
・・・待ッテルカラ";"You'll still come back, right?
I'll be here...";"Alors tu reviendras tu reviendras?
Je t'attends...";"Komm also bald einmal wieder!
Ich warte...";
"ッテユーカ、ツッコミヨウノ無イ
ビミョーナ点数
出シテンジャナイワヨ！";"Really, you haven't shown me
anything too amazing yet! Nope!";"Il faut dire que c'est un score
pas extraordinaire extraordinaire!
Non non non!";"Das ist ja eine lächerliche
Punktzahl, die du da erreicht
hast!";
"次ハ　高得点　叩キ出シテ、
アタイヲ　トキメカセテヨ・・・";"So next time, show me a really high
score. Show me something 
OUTSTANDING!";"Alors alors, la prochaine fois, fais
plus de points plus de points!
Je veux des sensations fortes!";"Versuche also das nächste Mal,
viele Punkte zu erreichen! Zeig
mir dann etwas ganz Besonderes...";
"ショ・・・ショボッ！";"How...weak!";"C'est... faible!";"Oh... Wie mies!";
"[LatestScore]ッテ　アンタ
ヤル気アンノ？！";"[LatestScore]... I mean, really...
Are you even trying?!";"[LatestScore]... Ça t'intéresse
vraiment ou tu fais semblant?
Il faut plus plus!";"[LatestScore]!
Wenn du keine Lust hast,
lass es lieber gleich!";
"デ、デモ　次ハ頑張ッテヨネ
待ッテルカラ・・・";"But you'll try harder next time,
right? I'll be rooting for you!";"Mais mais, tu feras mieux la
prochaine fois, n'est-ce pas?
Oui oui oui!";"Aber beim nächsten Mal
schaffst du bestimmt mehr!
Du weißt, ich bin immer hier...";
"チョ・・・０点テ！";"What... Ooh. 0 points!";"Que... 0 point!
Errgl!";"Was...? Null Punkte!";
"アンタ・・・
アタイヲ　オチョクッテンノ？！";"Are you... Are you making fun of
me?! ARE you?!";"Tu... Tu te moques de moi!
Tu te moques de moi!";"Du willst mich... Du willst mich
wohl ärgern, oder was?!?";
"ジャ、コレ　ドウゾ！";"Look, whatever. Just try harder
next time...";"Allez, tiens, prends ça prends ça!";"Hier... für dich!";
"アンタノ　フライト、最高ダッタ！
モウ１回　アタイニ　見セツケテヨ";"...Oh, hey! That was the best flight
I've seen from you! Wanna show me
your moves again?";"Ton vol était super super! 
Incroyable! Parfait parfait! 
Je veux le revoir revoir! Tu peux
le refaire encore encore?";"Das war wirklich Wahnsinn!
Kannst du mir das noch einmal
zeigen?";
"最高点ダナンテ
スゴスギダヨ～！";"...Oh, hey! You just got the highest
score!";"Le score maximum! Maximum!
Incroyable, incroyable!";"He, warte mal!
Ganz lässig die Höchstpunktzahl?
Das ist ja unglaublich!";
"・・・ショウガナイナー
モウ１回ヤル？";"So... Wanna go again?";"Bon, ben tant pis tant pis...
Tu veux refaire une partie?";"Unglaublich...
Willst du nochmal?";
"次ハ、コノ　アトラクションノ
最高点目指シテ頑張ッテヨ
・・・待ッテルカラ";"Next time, you need to go for the
highest score possible. I'll be
waiting...";"La prochaine fois, essaie 
d'atteindre le score maximum!
Je t'attends...";"Und versuch diesmal, die
Höchstpunktzahl zu erreichen!
Ich zähle auf dich!";
"あら、どうも";"Why, hello!";"Oh, bonjour!";"Oh, verzeih!";
"申し訳ありませんが
アゲハ、もう　帰るところですの";"I'm so sorry, but I was just
finishing up here.";"Je suis vraiment désolée, j'étais
sur le point de partir.";"Tut mir Leid, aber... Ich 
bin gerade auf dem Heimweg.";
"ご用なら　後で
門の向こうの　アゲハのお城まで
来てくださらない？";"If there's something you need,
you'll simply have to visit me in my
posh castle on the other side of
the gate.";"Si vous avez quelque requête à
me présenter, voulez-vous bien
me retrouver à mon château,
de l'autre côté de la porte?";"Wenn du mich sprechen möchtest,
komm doch bitte zu Agnethas
Schloss, dort hinter dem Tor!";
"あら、ワンちゃん・・・";"Oh, hello, puppy...";"Oh, le joli toutou...";"Oh, ein Hündchen...";
"でもアゲハ、ワンワン語は
わからないですの・・・
ごめんあそばせ";"I'm sorry, but I don't speak puppy.
Do you want to play?";"Je suis désolée, je ne
parle pas le chien...
Je ne peux pas jouer avec toi!";"Leider verstehe ich die
Hundesprache nicht...
Verzeih!";
"・・・あら！
大きなバッタさんかと思いましたわ！";"...Oh, boy! I thought you were a
giant grasshopper!";"... Oh!
Désolée, je vous avais pris
pour une sauterelle géante!";"...Oh! Ich dachte schon,
du wärst eine riesige Heuschrecke!";
"・・・あら！
大きなタマムシさんかと思いましたわ！";"...Oh, boy! I thought you were a
giant jewel beetle!";"... Oh! Je vous avais pris
pour un gros bupreste.";"...Oh! Ich dachte schon,
du wärst ein riesiger Prachtkäfer!";
"・・・あら！
大きなコガネムシさんかと思いましたわ！";"...Oh, boy! I thought you were a
giant scarab beetle!";"... Oh! Je vous avais pris
pour une grosse cétoine dorée!";"...Oh! Ich dachte schon,
du wärst ein riesiger Goldkäfer!";
"でも、そんな格好をしておられる
ということは、アナタも虫さんが
お好きなんですよね？！";"But you're not! You're a person!
Still, you're wearing those clothes,
so that tells me you like bugs too!";"Mais si vous portez ces vêtements,
vous devez forcément être
un grand ami des insectes, non?";"Aber so wie du aussiehst, magst du
doch bestimmt Insekten, oder?!?";
"申し遅れました
ワタクシ、虫さん王国のプリンセス、
アゲハと申しますの";"Oh, boy, I forgot the formalities!
You have an audience with the
princess of the bug kingdom.
Agitha is my name!";"Mais, je ne me suis pas présentée!
Je m'appelle Machaon. Je suis la 
princesse du royaume des insectes.";"Oh, ich habe mich gar nicht
vorgestellt... Ich bin die Prinzessin
des Insektenkönigreichs. Agnetha,
so nennt man mich.";
"世界にいる２４匹の金色の虫さんを
舞踏会に　ご招待しているんですけど、";"I've invited the 24 golden bugs of
the world to the ball, but...";"J'ai organisé un grand bal auquel
j'ai convié les 24 insectes au corps
doré vivant de par le monde.";"Ich habe die 24 goldenen Insekten
zu einem Ball eingeladen.";
"道にでも迷われたのか、
全然　集まってくれないんですの";"I don't know if they got lost on the
way or what, but they haven't
shown up yet.";"Je ne sais s'ils se sont perdus,
mais ils tardent à arriver.";"Aber sie kommen gar nicht.
Ich fürchte fast, sie haben
sich auf dem Weg verirrt...";
"ねぇ　アナタ、彼らを見かけたら
門の向こうの　アゲハのお城まで
連れて来てくださらない？";"If you see them, would you please
bring them here to Agitha's Castle?
And tell them the princess awaits!";"Si vous les rencontriez au cours
de votre voyage, pourriez-vous les
raccompagner à mon château?";"Bitte, wenn du sie siehst, bring
sie in Agnethas Schloss, gleich
dort hinter dem Tor!";
"来られていない虫さんは　あと１匹・・・
これ以上　じらされると、
アゲハ　どうにかなっちゃいそうです！";"Only one bug hasn't shown up
yet... We're so close, I don't know
whether to spin a cocoon or fly
into a lamp!";"Il ne manque plus qu'un seul invité
pour que je puisse ouvrir le bal...
Mes jambes me démangent tant
que je vais en devenir folle!";"Nun fehlt nur noch ein Insekt...
Ich halt's fast nicht mehr aus vor
lauter Spannung!";
"最後の虫さんを　見つけられたら、
イジワルしないで
すぐに　連れてきてくださいね";"If you find the last one, don't you
dawdle! Get the li'l bug back to me
right away!";"Si vous trouviez le dernier invité,
ne soyez pas mesquin...
Ramenez-le ici de suite... ne me
laissez pas me morfondre plus...";"Wenn du das letzte Insekt ge-
funden hast, bring es schnell
hierher! Und wag es nicht, auf
dem Weg zu trödeln, ja?!?";
"アナタのおかげで、
[ReturnedBugs]もの金色の虫さんが
無事　来場されました！";"Thanks to you, I have [ReturnedBugs] ready
for the ball at my castle!";"Grâce à vous, j'ai déjà reçu [ReturnedBugs]!";"Dank dir haben schon viele
goldene Insekten den Weg
gefunden! [ReturnedBugs], um genau
zu sein!";
"全員そろうまで、あと[RemainingBugs]・・・
できれば、ペアになってない虫さんの
パートナーも探してくださいね";"We only need [RemainingBugs] more until all
of them are here... Please do your
best to find partners for the ones
that are not already paired up!";"Cela veut dire qu'il manque [RemainingBugs]
pour pouvoir ouvrir le bal... Je vous
en prie, continuez vos efforts pour
qu'ils aient tous un partenaire!";"Nur noch [RemainingBugs] also, bis alle 24
beisammen sind. Und versuch auch,
Partner für diejenigen zu finden,
die noch allein sind!";
"現在[ReturnedBugs]の虫さんが
アゲハのお城に　来場されています";"As of now, I have [ReturnedBugs] at my
castle.";"J'ai déjà accueilli [ReturnedBugs] au château.";"Im Moment habe ich [ReturnedBugs]
hier im Schloss.";
"２４匹の金色の虫さんに
舞踏会の招待状を　お出ししたんですけど
まだ誰も来場されてないんです・・・";"I sent out invitations for my ball to
24 gold bugs, but none of them
have arrived yet...";"J'ai fait parvenir une invitation
aux 24 insectes au corps doré,
mais aucun d'entre eux
n'est encore arrivé...";"Ich habe 24 goldene Insekten zu
meinem Ball eingeladen, aber noch
kein einziges ist erschienen...";
"もし見かけたら、
門の向こうのアゲハのお城まで
連れて来てくださらない？";"If you see them, could you bring
them to my castle on the other side
of the gate?";"Si vous les rencontriez sur
votre route, pourriez-vous
les raccompagner à mon château,
de l'autre côté de la porte?";"Wenn du irgendwo eines entdeckst,
bring es bitte zu Agnethas Schloss,
gleich dort hinter dem Tor.";
"ハァ～～～・・・
もうダメゴロ・・・人生、終わりゴロ";"Ooowahhh... Oh noooo...
This is the end.";"Uuuuahhh... Oh noooon...
C'est la fin.";"Waaah...
Ich kann nicht mehr... Es ist aus!";
"橋が壊れて、温泉水が運べないんじゃ・・・
商売できないゴロ・・・";"The bridge is broken, so we cannot
carry springwater... Now there is
no way to work...";"Le pont est cassé, on ne peut plus
apporrter d'eau therrmale en ville...
Je ne peux plus trravailler
maintenant...";"Die Brücke ist kaputt, also kann
auch kein Quellwasser mehr
transportiert werden...
Und ich hab nichts zu verkaufen...!";
"ハァ～～～～～・・・
やる気、出ねぇなぁ・・・";"Ahhhhhhhhhhh... I do not feel like
doing a thing...";"Uuuuahhh...
Je n'ai plus le courrage de fairre
quoi que ce soit...";"Oh... Ich mag nicht mehr...!";
"あ～あ・・・こんな時、
アツ～い温泉の湯でも浴びれたらなぁ・・・";"Ahhhh... At times like these, I wish
I could douse myself with piping
hot springwater...";"Uuuuuaaah...
Ce qu'il me faudrrait, c'est
une cascade d'eau therrmale
brrûlante surr mon dos...";"Ach... Wenn ich mich doch mit
heißem Quellwasser übergießen
könnte...";
"ハァ～～～～～・・・
ついてねぇなぁ・・・";"Awww... How unlucky...";"Uuuuuaaah...
Quelle malchance...";"Aaah... Was für ein
Elend...!";
"これが　アツ～い温泉の湯
だったらなぁ・・・";"If only that was piping hot
springwater...";"Si seulement c'était de l'eau
therrmale brrûlante...";"Wenn das nur heißes Quellwasser
wäre...";
"うぉぉぉーーーっ！！";"OOWAAAHHH!";"UUAAAAHHHH!!";"Uoooh...!!!";
"生き返ったゴロー！！
この香り、温度、質感からして、
これはまさしく里の温泉水ゴロー！";"I feel rejuvenated!! That smell,
that heat... It is springwater from
back home!";"Je rreviens à la vie!
Ce parrfum! Cette tempérraturre!
Cette douceurr!  Rrien de tel
que l'eau therrmale du village!";"Jetzt geht es mir wieder gut! Der
Duft, die angenehme Wärme und
das Gefühl auf der Haut...
Das muss aus meiner Heimat sein!";
"そんじゃあ早速、商売再開といくゴロー！";"Well, I am going to get back to
work and open up the shop!";"Allez, il est temps de se
rremettrre au trravail!";"Ich werde mein Geschäft sofort
wiedereröffnen!";
"・・・あ！　ニーチャンは
あの　なんとかっつー人ゴロ？！
活躍は　他のゴロンから聞いてるゴロ！";"...Hey! You are that human, yes?!
The other Gorons told me about
you, Brother!";"Eh!  Tu es l'Humain?!
Le forrtiche? Les autrres Gorrons
m'ont rraconté tes exploits!";"Oh...! Bist du etwa dieser
Mensch, von dem mir die anderen
Goronen berichtet haben?";
"それにしても　この岩、すっげぇゴロ～！
土砂崩れでも　あったゴロ？";"Just take a look at these rocks! 
Amazing! Was there a landslide
or something?";"Tu as vu cet éboulis? Incrroyable!
Il y a eu un affaissement
de terrrain?";"Aber schau dir nur mal diesen
Felsen an! Ob es hier einen
Erdrutsch gegeben hat?";
"そういえばニーチャンは
こんなトコに　何しに来たゴロ？
ひょっとして、ここ通りたいゴロ？";"What are you doing here anyway,
Brother? Are you trying to pass
through here?";"Au fait, qu'est-ce que tu
viens fairre parr ici?
Tu veux passer parr là?";"Warum bist du eigentlich hier?
Wolltest du etwa hier durch?";
"温泉水飲んで　元気が出たら、
こんな岩くらい
なんとかなりそうゴロ・・・";"If I drank some hot springwater, it
might give me the strength to break
through a big rockfall like this...";"Avec une petite gorrgée d'eau
therrmale pourr me donner des
forrces, je n'en ferrais
qu'une bouchée...";"Wenn ich etwas Quellwasser
trinken und wieder zu Kräften
kommen würde, könnte ich diesen
Felsen vielleicht beseitigen...";
"ニーチャン、温泉水が手に入ったら
またオイラに　話しかけてくれゴロ！";"Hey, Brother, if you find some hot
springwater, you should come see
me again!";"Si tu rretrrouves de l'eau
therrmale, rreviens me voirr!";"Wenn du Quellwasser hast,
sprich mich ruhig noch einmal an.";
