Japanese;UK English;French;German;
"ん～～～～～～～～～～～
・・・どうしたの、チャンピオン？";"Oh, how lamentable!
..Where was your skill, O champion!?";"Mais...
Qu'est-ce qui t'arrive, Champion?";"Hmm... ... ... ...
Hast du heute einen schlechten Tag,
Champion?";
"はーい、残念でしたァ！
コースアウトは失格になりまーす！

・・・飛んでいく方向が
てんで見当ちがいっスよ？";"Oh! Too bad! You flew out of bounds!
That disqualifies you!


...It looks like the skies decided you
were going to fly in a different direction!
They do that sometimes.";"Aïe, dommage!
Tu es disqualifié pour sortie de la zone de
vol réglementaire!


Surveille la direction de ton vol!";"Tut mir Leid, aber den Kurs verlassen ist
gleichbedeutend mit einer Disqualifikation!


Du musst schon aufs Ziel zufliegen,
schließlich ist das hier kein Spazierflug!";
"・・・ンも～、ダメじゃないスかぁ
コースアウトしたら失格ですよ
ちゃんとゴールに向ってください！";"...Ohhh, that's just atrocious flying!
Soaring out of bounds disqualifies you!
You must concentrate! Can't you at least
aim for your goal?";"... Aïe, aïe, aïe!
Tu es disqualifié pour sortie de la zone de
vol réglementaire. 
Surveille ta trajectoire!";"Also wirklich, was ist denn da schief
gegangen? Klar wirst du disqualifiziert,
wenn du den Kurs verlässt! Das nächste
Mal also bitte das Ziel im Auge behalten!";
"ゴォォォォォォォォォォ～ル！


おめでとうございまぁぁぁ～す";"GOOOOOOOOOOOAL!



Con-GRA-tulations!";"Record Battuuuuuuuuuuuu!


Bravoooooooooooooo!";"Im Ziiiiiiiiiiel!



Herzlichen Glückwunsch!";
"そこまでェ～～～～～～～～っ！";"Sploooooooooooosh!";"Distance enregistréééééééée!";"Und Schluuuuuuuuss!";
"ただいまの記録は・・・なんと
[FlightPlatformTime]！！！";"Your current record is...an impressive
[FlightPlatformTime]!!!";"La distance que tu as parcourue est
de ...
[FlightPlatformTime]!!!";"Deine Flugweite betrug soeben ...
unglaubliche [FlightPlatformTime]!!!";
"ンも～～～～
何やってるんですかぁ？
それじゃあ計測不能ですよ！
・・・飛んでいく方向が
分かってないんじゃないスか？";"Heyyyyyy! What do you think you're doing?
I can't measure that, you strange person!
...Why, you don't even know which direction
you're supposed to fly, do you?";"Hein? Mais qu'est-ce que tu fais?
Je ne peux pas mesurer ça!
Tu n'as pas compris dans quelle direction
tu dois aller?";"Sag mal, machst du dich über uns lustig?!
Möchtest du hier vielleicht einen
Minus-Rekord aufstellen? Dieser Versuch
kann jedenfalls nicht gewertet werden!
Dir ist aber hoffentlich schon klar,
in welche Richtung es eigentlich zu
fliegen gilt, oder?";
"・・・ダメですよぉ～！
ゴールの旗が見えないんですか
逆方向に飛んでどうするんです？";"...You can't do that! Can't you see the
banner over there by your goal?! Why are
you flying in the OPPOSITE direction?!?
That's makes very little sense!";"... Mais enfin?!
Tu n'as donc pas vu le drapeau?
Que veux-tu que nous mesurions si tu voles
dans le mauvais sens?";"Also wirklich! Kannst du denn das Zieltor
nicht sehen? Was soll das bringen, in die
entgegengesetzte Richtung zu fliegen?";
"オッ、挑戦者の方ですね！


はるか正面に旗が見えてますでしょ？
偉大なるチャンピオンの出した最高記録
・・・あの旗を越えるのです！";"Oh! A challenger! The contest is afoot!



You see that banner far off in the distance?
That marks the record distance set by our
Great and Talented Champion!
...You must pass that banner!";"Oh! Tu viens relever le défi,
n'est-ce pas?


Tu vois le drapeau, au loin, là-bas?
Il marque le record de notre
Grand Champion.
Essaie de dépasser le drapeau!";"Sei mir gegrüßt, ehrbarer Herausforderer!



Siehst du das Zieltor dort hinten in der
Ferne? Es markiert den Rekordflug des
großartigen Champions! Wer ihn schlagen
will, muss es durchfliegen!";
"どんな道具を使おうと自由ですよ
あの旗めがけて、飛び立ってください

竜の山の頂上から飛び降りる気持ちで！";"You can use whatever means, methods and
tools you have at your disposal! All you
must do is take to the skies and aim for
that flag, plain and simple!
Just imagine you are flying down from the
very summit of Dragon Roost Mountain!";"Tu peux utiliser tous les instruments
que tu veux. C'est à toi de décider.
Vole dans la direction de ce drapeau. 

Imagine que tu prends ton envol depuis
le sommet de la Montagne du Dragon!";"Es ist uns vollkommen gleich, welcher
Hilfsmittel du dich bedienst, um zu
fliegen! Hab einzig und allein tollkühn das
Zieltor im Auge und gib dein Bestes!
Stell dir einfach vor, du würdest vom Gipfel
des Drachenberges in die Tiefe springen!";
"準備運動すませました？
風は吹いてます？";"Have you finished all your stretching
exercises? Is the wind blowing the way
you like? Is your ballast balanced?";"Tu es prêt?
Le Vent te convient?";"Hast du dich genug aufgewärmt?
Weht ein günstiger Wind?";
"確かめたら、そこの踏み切り板から
飛び立ってください！

正面に見える旗は
偉大なるチャンピオンが出した
最高記録・・・アレをこえるのです！";"Once you have performed all your preflight
checks, step onto that launch pad and take
flight like an elegant creature of the air!

The banner you see out yonder marks the
record set by our Great and Talented
Champion! ...You must pass it!";"Si tu es prêt, avance-toi jusqu'au bout du 
tremplin et prends ton envol!


Le drapeau que tu verras devant toi marque
le record de notre Grand Champion...
Essaie de le dépasser!";"Wenn du bereit bist, dann lauf über
die Planke und stürz dich in die Lüfte!


Das Zieltor, das du weit hinten in
der Ferne siehst, markiert den Rekordflug
des großartigen Champions! Wenn du ihn
schlagen willst, musst du es durchfliegen!";
"さあ、現在のあなたの
最高記録は[FlightPlatformRecord]！";"Your current record is [FlightPlatformRecord]!";"Ton record actuel est de [FlightPlatformRecord]!";"Dein bisheriger Rekord beträgt [FlightPlatformRecord]!";
"おお、私を超えた偉大なる
新チャンピオン！

また素晴らしい飛びを
われら兄弟に見せて下さい！";"Oh! You are the New and Great and
Talented Champion who surpassed even me!


Please show us humble brothers yet another
great flight! I tremble with anticipation!";"Tiens, tiens,
voici le Nouveau Grand Champion qui a
battu mon record!

Eblouis-nous, mon frère et moi,
avec l'un de tes vols fantastiques!";"Sei mir gegrüßt, ehrbarer Champion,
der du meinen Rekord gebrochen hast!


Es ist uns Brüdern eine Ehre,
auf ein Neues deine grandiosen
Flugkünste bestaunen zu dürfen!";
"いや～、素晴らしいものを
見せて頂きました・・・";"Oh! Breathtaking! You have shown me an
incredible feat of aerial navigation...
My eyes! They are unworthy!";"Splendide, magnifique!
Merci!...";"Wirklich inspirierend, solch überragende
Flugfertigkeiten demonstriert zu bekommen...";
"町のあちこちに小さな台が
置いてあるだろう？
あれは幸せの台座というんだ";"Have you seen the small metal pedestals all
around town? We call those Joy Pedestals.";"De petits socles sont disposés un peu
partout dans la ville, tu as dû les voir... 


Ces objets sont ce que nous appelons les
Socles du Bonheur.";"Dir sind doch bestimmt schon diese Ständer
überall in der Stadt aufgefallen, oder?
Das sind die sogenannten Glücks-Ständer!";
"最近、結成された慈善団体
幸せのボランティア協会が
町を飾ろうと設置したものでね";"Yeah, they got installed a little while ago
by the newly formed Joyous Volunteer
Association. It's part of this grand plan to
help decorate the town.";"Une association de bienfaisance s'est mise
en place récemment.
Les Bénévoles du Bonheur.
Et ils ont décidé de décorer la ville.";"Sie sind erst vor kurzem von der freiwilligen
Gesellschaft für Glück und Frohsinn
aufgestellt worden und zwar mit dem Ziel,
unsere geliebte Stadt etwas zu verschönern!";
"言い出しっぺは
そこの露店のスズナリさん
かくいう私も一員さ
こういう事には協力しないとな！";"Anyway, they're brilliant! I may as well tell
you that both myself and Zunari, the guy
who runs that stall over there, are members.
You just have to be a part of stuff like this!";"C'est le marchand Naglagla qui a eu l'idée
de cette association.
Et à vrai dire, j'en fais partie aussi.
Si l'on n'aide pas ce genre de cause...";"Gegründet hat sie der Standverkäufer
Suzunari da drüben und ich rühme mich,
ebenfalls ein Mitglied zu sein!

Bei solch einer guten Sache
sollte wirklich jeder mitmachen!";
"よお、小さな会員くん！
幸せのボランティアに
協力、ありがとよ！";"Hey there, little joy junior! Thanks so much
for being a Joyous Volunteer!";"Merci, jeune bienfaiteur!
C'est gentil à toi d'aider les
Bénévoles du Bonheur!";"Vielen Dank, Junge! Du bist unser jüngstes
Mitglied, aber du machst dich wirklich sehr
verdient um die freiwillige Gesellschaft für
Glück und Frohsinn! Weiter so!";
"何だか最近、このタウラ島に
幸せな雰囲気が満ちている・・・
そんな気がしないか？";"Wow! Windfall just seems to be filled with
joy lately... Don't you think?";"Je trouve que depuis un certain
temps, Mercantîle s'est mise à respirer le
bonheur.
Tu ne trouves pas? ";"Ich habe irgendwie das Gefühl, als sei
Port Monee nun wirklich zu einem Ort
des Glücks und des Frohsinns geworden...
Siehst du das auch so, mein junger Freund?";
"もしかして君・・・
ボランティアに協力して
町を飾ってくれてたりしたかい？";"Say, you haven't been cooperating with the
volunteers, have you? You know what I'm
talking about? Decorating the town?";"Est-ce toi qui as décidé d'aider les
Bénévoles et aussi bien décoré la ville?";"Warst du es vielleicht gar, der sich
so vorbildlich für unsere freiwillige
Gesellschaft eingesetzt und unser
Stadtbild dermaßen verschönert hat?";
"そうか・・・そうなんだな？
人の親切って嬉しいもんだな～

よーし、私もお返しをするよ！";"Oh, really? ...You have? Wow, it never fails
to amaze me how kind and thoughtful folks
can be. ...I know! I'll return your kindness
with some of my own!";"C'est ça?
Comme c'est gentil de ta part!


Tiens, voici une récompense!";"Tatsächlich! Du warst das also!
Es gibt doch nichts Schöneres,
als nette und freundliche Menschen!

Für deinen Einsatz will ich dir unbedingt
diese kleine Anerkennung geben!";
"幸せのボランティア協会に
これからも協力よろしくな
小さな会員くん！";"I hope you'll continue to help the
Joyous Volunteer Association with its work,
little joy junior!";"Et continue à aider les Bénévoles du
Bonheur, jeune Bienfaiteur!";"Bitte bleibe unserer freiwilligen Gesellschaft
für Glück und Frohsinn weiterhin
als engagierter Helfer erhalten,
mein junger Freund!";
"ぴーんと感じる・・・
君も幸せのボランティアに
さりげなく協力しているとみたぞ";"Now I get it... You're secretly assisting the
Joyous Volunteer Association, aren't you?";"Mes impressions ne me trompent jamais...
J'ai bien vu que tu contribuais à l'action
des Bénévoles du Bonheur!";"Ich habe gleich gespürt, dass auch
du dich selbstlos für unsere Sache
als freiwilliger Helfer einsetzt!";
"これでも会員歴は長いから
何となく分かるんだよ
こういう事には協力しないとな！";"Yeah, I've been a member for a while now,
so I can just tell these things. And being
a member is so rewarding! Spreading joy is
something you just HAVE to experience!";"Cela fait un petit moment que je fais
moi-même partie de cette association. 
Et crois-moi, nous reconnaissons tout de
suite les futurs membres. 
Il faut bien soutenir ce type de cause, hein?";"Ich bin nun schon recht lange dabei,
da erkenne ich natürlich sofort, wenn sich
jemand für die gleiche Sache stark macht!

Bei solch einer guten Sache
sollte wirklich jeder mitmachen!";
"幸せの台座には
ちょっとシアワセな小物が
飾れるようになっている";"The Joy Pedestals are set out so that
people can place little joyful objects in
them and decorate the town.";"Les Socles du Bonheur ont été placés 
dans la ville pour qu'on y dépose des
objets de décoration qui donnent aux
habitants un peu de bonheur.";"Die Glücks-Ständer sind dazu da,
ein paar Freuden spendende Kleinigkeiten
in sie einzusetzen, um so das Stadtbild
zu verschönern!";
"そこで売ってるはずだから
露店のスズナリさんに聞いてみな
こういう事には協力しないとな！";"The items you can place in them should be
on sale over there, so try asking Zunari
about the whole deal. Honestly, you're
missing out if you don't take part!";"Le marchand Naglagla vend ce type
d'objets. Tu devrais aller le voir.
Il faut bien soutenir ce genre de cause, 
n'est-ce pas?";"Suzunari verkauft drüben an seinem Stand
ein paar solcher Kleinigkeiten, am besten
fragst du ihn einfach mal danach!

Bei solch einer guten Sache
sollte wirklich jeder mitmachen!";
"このタウラ島には世界中から
商人を目指す人間が集まってくる
いわゆる金と人が集まる島ってワケだ
でもなぁ・・・金も大事だけど
人間、ちょっとした心のゆとりが
大事だと思わないか？";"People from all over the world seem to
gather here on Windfall Island, all hoping
to become successful merchants.

I suppose you could say that this is the
island where people and money come
together. But you know what...?

Money is important, sure...but don't you
think people need to open their hearts a
little more than their wallets?";"Les gens convergent du monde entier vers
Mercantîle pour y faire du commerce...
Bien sûr, c'est commode d'avoir de l'argent.
Mais l'argent ne fait pas le bonheur, hein?";"In Port Monee versammeln sich Händler und
solche, die es werden wollen, aus aller
Welt. Es ist ein regelrechter Umschlagplatz
für allerlei Waren und vor allem für Geld.
Nun, sicherlich mag Geld sehr wichtig sein,
aber ich finde, dass es den Menschen
heutzutage, wie soll ich sagen, vielleicht
etwas zu sehr an Frohsinn fehlt...?";
"人生長いんだからさ
寄り道も楽しいもんだぜ！";"I've been kicking around this crazy world
for a long time, and I've learned to stop
and sniff the flowers along the way!";"La vie est longue: pourquoi ne pas en
profiter pour se rendre utile aux autres?";"Das Leben ist schließlich lang
und manchmal sind es eher die
Kleinigkeiten und Umwege, die am
meisten Freude bereiten!";
"おおお、驚かせるでねえよ！
・・・ったく地震かと思ったわい";"Whoa! Don't startle me like that!
...Sheesh! I thought we were having an
earthquake or something!";"N... N... Ne me fais pas peur, comme ça!
J'ai cru que c'était un tremblement de terre!
";"Wuaaaah! Willst du mich
zu Tode erschrecken, Junge?!
Ich dachte schon, ein Erdbeben würde
unsere Stadt in die Meerestiefen reißen!";
"ムールちゃんとマギーちゃんが
無事に戻ってきたんじゃよ！

なにやら色々あったらしいが
本当に良かったのお～";"Both Mila and Maggie returned unharmed!



It sounds as though they went through
quite an ordeal, but they're safe now.";"Mina et Maggy sont revenues saines
et sauves!


Cela n'a apparemment pas été sans mal,
mais en tout cas elles sont de retour et
elles vont bien. 
J'en suis vraiment content!";"Felizitas und Dolores sind
wohlbehalten zurückgekehrt!


Sie scheinen ziemlich viel durchgemacht zu
haben. Aber jetzt ist ja alles wieder gut!";
"わわわ、わしも魔獣にさらわれたら
どうしよう？
身震いしてくるわい！";"Oh, the horribleness! I don't know what I'd
do if I were kidnapped and taken to the
Forsaken Fortress! Just the thought of it
sends shivers down my spine! Brrrr!";"Et... Et si moi aussi, j'étais enlevé, hein?
Qu'est-ce qui se passerait?
J'en tremble!...";"W-w-w-was, wenn ich auch von bösen
Ungeheuern verschleppt werde?
Wenn ich nur daran denke, fange ich
am ganzen Körper an zu schlottern!";
"最近、魔獣島のバケモノどもが
耳の長い娘をあちこちで
さらっているそうなのじゃ";"Lately, I've been hearing that monsters from
the Forsaken Fortress have been going
around kidnapping girls with long ears.";"Il paraît qu'en ce moment, les monstres de 
la Forteresse Maudite enlèvent un peu
partout des jeunes filles aux
longues oreilles...";"Die Ungeheuer aus der Verwunschenen
Bastion verschleppen in letzter Zeit
lauter junge Mädchen mit langen spitzen
Ohren aus aller Herren Inseln!";
"このタウラ島でも実はすでに二人
ムールちゃんとマギーちゃんが
さらわれての・・・気の毒に";"I can believe it. After all, two girls from
Windfall have already been kidnapped. Poor
Maggie and Mila... It just breaks my heart
to think about those two.";"Et par malheur, deux jeunes filles ont été
enlevées sur Mercantîle: Mina et Maggy.
C'est horrible.";"Und auch aus Port Monee wurden bereits
zwei kleine Mädchen verschleppt,
Felizitas und Dolores...
Wirklich eine Tragödie!";
"父親たちは誰かれかまわず
娘を助けてと頭を下げておる・・・
ぶっそうな世の中になったもんじゃ";"Both of their fathers are desperate to find
anyone who can rescue their poor little
girls... What kind of world has this
become?! So much fear and suffering...";"Leurs pères demandent à tout le monde de
leur venir en aide et d'aller les délivrer...
Le monde est devenu tellement dangereux...";"Angesichts dieser Umstände sind sich ihre
Väter jetzt nicht zu schade, wirklich
jeden um Hilfe anzuflehen... In was für
schrecklichen Zeiten wir doch leben!";
"よお、少年！
港の近くにポストがあっただろ？";"Hey there, boy! Did you happen to see the
postbox down near the docks?";"Salut jeune homme.
Tu as vu la Boîte aux Lettres, près du port?";"Hallo, Junge!
Hast du den Briefkasten am Hafen gesehen?";
"誰かに手紙を出したい時は
[Y] か[Z] か[X] で選んでポストにいれてみな";"Well, just so you know, if you want to send
someone a letter, just set it to [Y] , [Z] , or [X] ,
and use that button to put it in the
postbox. It's just that easy.";"Si tu as une lettre à envoyer, assigne-la à 
[Y] , [Z]  ou [X]  pour la glisser dans la
Boîte.";"Wenn du mal jemandem einen Brief
schicken willst, dann leg ihn doch
auf [Y]  oder [Z]  oder [X]  und wirf ihn
in den Briefkasten ein!";
"そのうちリト族の
ポストマンが届けてくれるはずだ
あいつぁ、かなりマメなやつなんだ";"Before long, the Rito postman will come to
deliver it to whomever you've sent it to.
He's a hardworking fellow, I tell you!";"Un Facteur Piaf se charge de distribuer 
le courrier que tout le monde glisse dans
la Boîte. Il est très ponctuel.";"Es dauert dann gar nicht lange und er wird
von einem Postboten des Volkes der Orni
abgeholt. Die nehmen ihre Arbeit nämlich
ganz schön ernst und sind sehr verlässlich!";
"リト族のポストマン・・・
もう来たのかなあ";"I wonder if the Rito postman has already
come today...";"Sais-tu si le Facteur Piaf est passé?...";"Ob der Orni-Postbote wohl schon da war?";
"ええっ・・・と
出すのはアレだけだったっけ？
出し忘れはなかったよなぁ？";"Let's see... Was that all I needed to send?
I didn't forget anything, did I?";"Voyons, voyons...
Est-ce que j'ai bien tout envoyé?...";"Äh... War das wirklich alles,
was ich einwerfen wollte?
Nicht, dass ich noch was vergessen habe!";
"しまった
やっぱり出し忘れがあった
うっかりしてた・・・";"Dang! I DID forget to send something!
What a drag...";"Et voilà, j'en ai oublié une!
Qu'est-ce que je peux être distrait, alors!";"Oh nein!
War mir doch so, als hätte ich vergessen,
noch etwas Wichtiges einzuwerfen!";
"あわわ・・・
なに撮ってるんだよ！

これは未来のヨメさんに
手紙を出してるだけだ";"Awwww... What are you doing, taking
pictures like this?


I'd only send something like this to my
future wife!";"M... Mais?!
Pourquoi as-tu pris cette photo?


C'est moi en train de poster une lettre à
ma future épouse!";"W-w-was machst du da
bitte für Lichtbilder?!


Ich habe nur einen Brief für
meine Zukünftige eingeworfen!";
"やましいことなんか、何もないぞ！";"I don't feel guilty at all!";"Je ne vois pas où est le problème!";"Ich habe mir also wirklich
nichts vorzuwerfen!";
"お、写し絵か！


赤レンガの建物に、有名な
写し絵師が住んでるんだけど
・・・行ってみたかい？";"Oh! A pictograph!



You know, there's a famed pictographer
living in the red brick building in town.
Have you been to see him yet?";"Oh! Tu possèdes une Boîte à Image!



Un célèbre Maître de l'Image demeure dans
la maison en briques rouges.
Es-tu déjà allé le voir?";"Oh, ein hübsches Lichtbild!



In dem roten Ziegelsteinhaus wohnt
ein berühmter Fotomeister...
Vielleicht stellst du dich mal bei ihm vor?";
"ななな
何だい、何か用かい？";"Wh-Wh-Wh-What!? What do you want?";"Qu... Quoi?
Qu'est-ce qu'il y a?
Je peux faire quelque chose pour toi?
";"W-w-was willst du?
Willst du was von mir?";
"ン、これ？
これはふつうの手紙だよ";"Huh? What're you showing me this for?
This is just a regular old letter.";"Ca?
C'était une simple lettre!";"Das hier?
Das ist nur ein gewöhnlicher Brief,
mehr nicht!";
"・・・ほんっと
あの人ったらハデよね～

あれで学校の先生してるだなんて
信じられないわよッ";"...She is so saucy, isn't she!



I can't believe she's a schoolteacher!";"... non, 
et puis d'un tape-à-l'œil
par dessus le marché!

Et dire qu'elle est institutrice...";"Ja, sie läuft wirklich immer
sehr aufgetakelt herum!


Kaum zu glauben, dass sie
eine Lehrerin sein soll!";
"ウワサじゃ高価なアクセサリーを
山ほどためこんでるって！
とくに宝石には目がないらしいワ";"Rumor has it she has mountains of tacky
pendants and earrings. It's as if she loves
nothing in the world more than jewelry!";"Il paraît qu'elle possède une montagne de 
bijoux qui coûtent une fortune...
J'ai entendu dire qu'elle adorait les pierres
précieuses...";"Gerüchteweise soll sie ja einen
Berg von Accessoires bei sich horten!
Nach Schmuck muss sie offensichtlich
vollkommen verrückt sein!";
"ん？
・・・何だい、聞いてたのかい";"Hm? ...Now, just WHAT are you doing?
Were you listening to us, you scamp?";"Hein?
Qu'est-ce que tu fais là?
Tu nous écoutes?";"Hm?
Jetzt sag bloß, du hast uns belauscht!";
"ぼうや・・・
見ない顔だけど、大人の話を
盗み聞きしちゃダメよ～？";"You listen, young man! I haven't seen you
around, so I guess you're new to Windfall...
but don't you know it's bad to eavesdrop on
conversations meant only for adult ears?";"Je ne t'ai jamais vu, dis moi...
Mais en tout cas, c'est très mal élevé
d'écouter les discussions des grandes
personnes!";"Das ist aber ganz schön unverschämt,
anderer Leute Gespräche zu belauschen!
Merk dir das bitte!";
"あたしたち・・・子供には分からない
とっても大事な話をしてるの
ぼうやが聞くには、ちょっと早いワ！";"We're discussing...very, VERY important
topics that kids just wouldn't understand.
You're far too young to be listening to us,
young man! So shoo!";"Nous parlons de choses très importantes
que les enfants ne peuvent pas comprendre.
Tu es trop petit pour ça!";"Und außerdem unterhalten wir
uns über wahnsinnig wichtige
und schwierige Themen!
Das ist nichts für ein Kind wie dich!";
"階段の上に赤レンガの建物があるだろ？
あの館には、ちょっといい雰囲気の
おかたが住んでるんだヨ！";"So anyway, you know that brick building at
the top of the steps? Well, the gentleman
who lives there has SUCH class!";"Tu sais, celui qui vit dans la maison en
briques rouges, en haut de l'escalier...
Il est quand même pas mal, cet homme...";"Um die Ecke und die Treppe hinauf steht
doch dieses rote Ziegelsteinhaus,
nicht wahr? Da wohnt wirklich ein
sehr eleganter Herr, musst du wissen!";
"ミステリアスな雰囲気の
写し絵師　ゲンゾーさん・・・
ステキよねえ～、ためいきがでちゃうワ！";"Ooh, I KNOW! That mysterious pictographer,
Lenzo is so...dreamy! Ohhhhhhhh...
He makes my heart go aflutter!";"Autofocus, l'homme aux clichés,
tu veux dire?
Il a un air mystérieux qui est
vraiment craquant...";"Ja, der geheimnisvolle und stattliche
Fotomeister Immanuel Kogfa!
Ach, wenn ich ihn nur sehe,
entgleitet mir jedes Mal ein Seufzer!";
"でも、つきあってる人がいるって
もっぱらのウワサよォ～？
あんなマジメそうな方なのに・・・";"But...do you think the rumors could be true?
Is he actually devoted to someone special?
He just seems too serious about his work to
be involved with somebody...";"Mais tu sais, j'ai entendu dire qu'il
voyait quelqu'un...
Il a pourtant l'air tellement sérieux...";"Aber es gibt doch Gerüchte,
dass er eine heimliche Freundin haben soll?
Und das, wo er einen so ernsthaften
und rechtschaffenen Eindruck macht!";
"誰なの、そのしあわせ者は！
彼と一緒の現場・・・誰か写し絵にでも
おさめてくれないかしら？";"The lucky lady! Who could she be?! I wish
someone would take a pictograph of the
two of them together so we could see if the
rumors are true! Oh, that'd be to die for!";"Je me demande bien qui est l'heureuse élue!
Et si l'on demandait à quelqu'un de les
photographier ensemble?";"Wer mag wohl diese Überglückliche sein?
Wenn doch nur jemand eines
ihrer heimlichen Stelldicheins
fotografieren könnte!";
"ゲンゾーさんと誰かのウワサ・・・
ぜーんぶ、あたしたちの
カンチガイだったみたいね！";"Well, I suppose we were all wrong about
the rumors of Lenzo and his "girlfriend"...";"Autofocus et l'élue de son cœur...
Eh bien je crois que nous nous trompions!";"Immanuel Kogfas geheime Affäre
mit irgendjemandem... All das war also
nur ein Missverständnis von uns!";
"あ～、モウ！
今夜もオークションが楽しみねぇ";"Ahhh... I simply can NOT wait!
Tonight's auction is going to be so fun!";"Ahh...
Vivement ce soir pour les enchères!";"Ich freue mich wieder riesig
auf die Auktion heute Abend!";
"誰が競売品をモノにするのかしら
・・・今からゾクゾクするワ！";"Oooh! Oooh! The excitement! The drama!
Just wondering who's going to win the
bidding race tonight gives me goosebumps!
...I'm not sure I can wait until dark!";"Je me demande bien qui va repartir
avec le lot de ce soir...
J'en ai déjà le cœur qui bat!";"Diese Spannung bis zum Schluss,
bis feststeht, wer den Zuschlag
erhält! Das fasziniert mich
jedes Mal wieder aufs Neue!";
"今夜のスターは、きっとあたしね！";"I'm going to be the auction star tonight,
I just know it!";"Je suis sûre que ce sera moi. 
Tu verras!";"Ich spüre es, heute Nacht wird meine Nacht!";
"それ、写し絵っていうんだろ
知ってるよ
よく撮れてるじゃないの";"They call those pictographs. I know all
about those things. ...That one's pretty nice.";"Oui, c'est un cliché, et alors?
Tu ne te débrouilles pas mal, c'est vrai...";"Ein Lichtbild?
Na, das ist mir aber nichts Neues!
Ich muss aber sagen,
dass es ziemlich gut ist!";
"ゲンゾーさんと
写し絵好きの奥さんね？
それはもう、知ってるワよぉ～";"Oh, you mean Lenzo and the lady who loves
pictographs? Yes, yes, I already know
about that.";"C'est Autofocus et cette victime de l'image
de Geneviève?
Mais tout le monde sait...";"Das sind Immanuel Kogfa und diese Frau,
die auch ganz lichtbildbegeistert ist, nicht?
Über die beiden wissen
wir inzwischen Bescheid!";
"まあ！
これって・・・";"OH! 
This is...";"Ohh!
Mais...";"Was?
Aber das sind doch...";
"写し絵師のゲンゾーさんと
あの写し絵好きの
奥さんじゃないの！";"It's the pictographer, Lenzo, and that
pictograph-loving lady!";"Mais! C'est Autofocus et cette victime de
l'image de Geneviève!";"...der Fotomeister Immanuel Kogfa
und diese lichtbildbegeisterte Frau!";
"なーんだ、ゲンゾーさんと
つきあってる人がいるなんて・・・
あたしたちのカンチガイだったのね！
あの二人は昔から、同じ趣味をもった
いいお友達なのよ";"I guess we were completely wrong about
Lenzo having a girlfriend...


It looks as though they're just old friends
who happen to share the same hobby.";"Les rendez-vous galants d'Autofocus étaient
donc une fausse rumeur!...


Ces deux là partagent la même passion
et ils sont amis depuis toujours.";"Dann war also an der Geschichte mit der
geheimgehaltenen Freundin von Immanuel
Kogfa nichts dran und alles war nur ein
Missverständnis von uns?
Die beiden sind nämlich seit langen
Jahren gute Freunde und teilen ihre
große Leidenschaft für die Fotografie!";
"ぼうや、本当のことを
教えてくれてありがとう
もう変なうわさするのはやめるワ！
・・・そうだね
お礼にこれをアゲルよ、手をお出し";"Thanks for setting us straight, young man.
We really should stop spreading idle
gossip like that.

...You've taught us the error of our ways,
and to thank you, we're going to give you
something nice. Stick out your hand!";"Merci de nous avoir révélé la vérité.
Nous ne colporterons plus de fausses
rumeurs dorénavant. 

... Et voici une récompense pour te
remercier. Tends les mains!";"Wir müssen uns wirklich bei dir bedanken,
dass du uns den wahren Sachverhalt
aufgezeigt hast! Jedenfalls werden wir keine
haltlosen Gerüchte mehr in die Welt setzen!
Natürlich sollst du zum Dank
auch was Schönes bekommen!
Strecke also bitte deine Hand aus!";
"うちのワンパク小僧が
どこかから拾ってきたものさ
あんた、きっとこういうの好きだろ？";"My naughty little boy found this
somewhere. I'm sure you'll like it!";"Mon galopin de fils a chapardé ça
quelque part.
Ca te plaît?";"Mein frecher Sohn hat die irgendwo
gefunden! So was ist doch auch ganz
nach deinem Geschmack, oder?";
"幸せのペンダントじゃないか
でもあたし達ゃ、今でもじゅうぶん
幸せなんだ、いらないよ";"Well, if it isn't a lovely Joy Pendant!
...Unfortunately, young man, the two of us
have plenty of joy in our lives right now,
so we don't need any of those. But thanks!";"C'est un Pendentif du Bonheur,
n'est-ce pas?
Mais je n'en ai pas besoin! 
Je suis bien assez heureuse comme ça!";"Das ist ja ein Glücksamulett!
An Glück mangelt es uns beiden
aber eigentlich nicht,
daher brauchen wir das nicht!";
"ぼうや、知ってるかい？
この海の先、ちょっと東に
あるっていう竜の島の話";"You look like a curious boy... Did you know
there's an island a little to the east of
here called Dragon Roost Island?";"As-tu déjà entendu parler d'une île
qui se trouve à l'Est, au large d'ici, 
et qui s'appelle l'Ile du Dragon,
mon garçon?";"Hast du schon einmal etwas über Drakonia
gehört, mein Junge? Es ist eine Insel im
Osten, gar nicht so weit weg von hier.";
"鳥のように自由に空を舞う
リトって種族が空の精霊とともに
暮らす島らしいんだけど・・";"Folks say that the island is the home of a
tribe of people who dance in the skies like
birds on the wind. They call themselves the
Rito, and they say a sky spirit lives nearby.";"C'est une île sur laquelle réside paraît-il 
l'Esprit du Ciel ainsi qu'un peuple volant,
les Piaf.";"Man erzählt sich, dass dort ein Volk
namens "Orni", das wie die Vögel durch
die Lüfte fliegen kann, zusammen
mit dem Hüter des Himmels leben soll...";
